,source,target,value
0,Michael,Dwight,5156
1,Michael,Jim,3715
2,Michael,Pam,3582
3,Michael,Ryan,1223
4,Michael,Andy,1103
5,Michael,Jan,2105
6,Michael,Stanley,862
7,Michael,Kevin,1001
8,Michael,Meredith,438
9,Michael,Angela,655
10,Michael,Phyllis,828
11,Michael,Kelly,584
12,Michael,Oscar,1066
13,Michael,Creed,345
14,Dwight,Jim,3234
15,Dwight,Pam,1305
16,Dwight,Ryan,465
17,Dwight,Andy,1200
18,Dwight,Jan,293
19,Dwight,Stanley,290
20,Dwight,Kevin,378
21,Dwight,Meredith,184
22,Dwight,Angela,820
23,Dwight,Phyllis,453
24,Dwight,Kelly,274
25,Dwight,Oscar,317
26,Dwight,Creed,104
27,Jim,Pam,3513
28,Jim,Ryan,451
29,Jim,Andy,887
30,Jim,Jan,222
31,Jim,Stanley,215
32,Jim,Kevin,454
33,Jim,Meredith,186
34,Jim,Angela,312
35,Jim,Phyllis,322
36,Jim,Kelly,328
37,Jim,Oscar,253
38,Jim,Creed,139
39,Pam,Ryan,431
40,Pam,Andy,485
41,Pam,Jan,232
42,Pam,Stanley,143
43,Pam,Kevin,473
44,Pam,Meredith,181
45,Pam,Angela,450
46,Pam,Phyllis,331
47,Pam,Kelly,261
48,Pam,Oscar,292
49,Pam,Creed,124
50,Ryan,Andy,87
51,Ryan,Jan,49
52,Ryan,Stanley,93
53,Ryan,Kevin,148
54,Ryan,Meredith,27
55,Ryan,Angela,58
56,Ryan,Phyllis,73
57,Ryan,Kelly,410
58,Ryan,Oscar,81
59,Ryan,Creed,39
60,Andy,Jan,50
61,Andy,Stanley,129
62,Andy,Kevin,341
63,Andy,Meredith,131
64,Andy,Angela,507
65,Andy,Phyllis,239
66,Andy,Kelly,109
67,Andy,Oscar,255
68,Andy,Creed,74
69,Jan,Stanley,21
70,Jan,Kevin,86
71,Jan,Meredith,11
72,Jan,Angela,76
73,Jan,Phyllis,21
74,Jan,Kelly,56
75,Jan,Oscar,72
76,Jan,Creed,28
77,Stanley,Kevin,100
78,Stanley,Meredith,35
79,Stanley,Angela,75
80,Stanley,Phyllis,218
81,Stanley,Kelly,46
82,Stanley,Oscar,89
83,Stanley,Creed,44
84,Kevin,Meredith,119
85,Kevin,Angela,362
86,Kevin,Phyllis,135
87,Kevin,Kelly,107
88,Kevin,Oscar,331
89,Kevin,Creed,72
90,Meredith,Angela,135
91,Meredith,Phyllis,76
92,Meredith,Kelly,56
93,Meredith,Oscar,95
94,Meredith,Creed,62
95,Angela,Phyllis,203
96,Angela,Kelly,124
97,Angela,Oscar,308
98,Angela,Creed,68
99,Phyllis,Kelly,72
100,Phyllis,Oscar,95
101,Phyllis,Creed,40
102,Kelly,Oscar,101
103,Kelly,Creed,37
104,Oscar,Creed,72
